Airport,AirportName,RampId,RampName,ACType,ACName,MissionType,MissionName,ServiceTime,ParkingMOG,WorkingMOG,HotCargoFlag,ExclusiveFlag
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,5,KC-10,4,DOWNLOAD,3,1.6666666,1.6666666,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,1,B-747P,2,UPLOAD,3,4.736842,4.736842,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.736842,4.736842,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,2,C-17,2,UPLOAD,2.25,9,9,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,2,C-17,4,DOWNLOAD,2.25,9,9,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,3,C-5A,2,UPLOAD,3.75,3,3,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,3,3,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,5,KC-10,2,UPLOAD,5,7.4999995,7.4999995,1,0
JFSD,GRAND FORKS AFB,1,GRAND FORKS AFB -JFSD-MAP-PARKING,5,KC-10,4,DOWNLOAD,3,7.4999995,7.4999995,1,0
JREZ,GRIFFISS INTL,1,GRIFFISS AFB -JREZ-MAP-PARKING,1,B-747P,2,UPLOAD,3,4.736842,4.736842,1,0
JREZ,GRIFFISS INTL,1,GRIFFISS AFB -JREZ-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.736842,4.736842,1,0
JREZ,GRIFFISS INTL,1,GRIFFISS AFB -JREZ-MAP-PARKING,2,C-17,2,UPLOAD,2.25,9,9,1,0
