Model,FedTime,MissionId,UID,Stons,Pax,Length,Width,Height,X,Y,Hazmat,CompartmentName,LegId,SeatCode
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT23_1,1,0,108,88,60,1152,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT24_1,1,0,108,88,60,1038,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT25_1,1,0,108,88,60,12,14,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT26_1,1,0,108,88,60,1152,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT27_1,1,0,108,88,60,12,108,false,AFT/CENTER/LOWER,2,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:WP00013.PAX_1,0.3,2,0,0,0,0,0,false,FORE/CENTER/LOWER,5,PAX
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT23_1,1,0,108,88,60,468,17,false,AFT/CENTER/LOWER,5,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT24_1,1,0,108,88,60,582,17,false,AFT/CENTER/LOWER,5,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT25_1,1,0,108,88,60,468,111,false,AFT/CENTER/LOWER,5,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT26_1,1,0,108,88,60,354,17,false,AFT/CENTER/LOWER,5,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT27_1,1,0,108,88,60,582,111,false,AFT/CENTER/LOWER,5,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT28_1,1,0,108,88,60,240,17,false,AFT/CENTER/LOWER,5,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT29_1,1,0,108,88,60,354,111,false,AFT/CENTER/LOWER,5,
MAIN,27.05,C17-PQWY001-D0020R0002S02,1:0000029.PLT30_1,1,0,108,88,60,696,17,false,AFT/CENTER/LOWER,5,
