Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
FMLH,STRATEGIC,B-747P,0,true,,,false
FMLH,STRATEGIC,C-17,0,true,,,false
FMLH,STRATEGIC,C-5A,0,true,,,false
FMLH,STRATEGIC,CH47,0,true,,,false
FMLH,STRATEGIC,KC-10,0,true,,,false
FNWZ,STRATEGIC,B-747P,0,true,,,false
FNWZ,STRATEGIC,C-17,0,true,,,false
FNWZ,STRATEGIC,C-5A,0,true,,,false
FNWZ,STRATEGIC,CH47,0,true,,,false
FNWZ,STRATEGIC,KC-10,0,true,,,false
FPAA,STRATEGIC,B-747P,0,true,,,false
FPAA,STRATEGIC,C-17,0,true,,,false
FPAA,STRATEGIC,C-5A,0,true,,,false
FPAA,STRATEGIC,CH47,0,true,,,false
FPAA,STRATEGIC,KC-10,0,true,,,false
FSJA,STRATEGIC,B-747P,0,true,,,false
FSJA,STRATEGIC,C-17,0,true,,,false
FSJA,STRATEGIC,C-5A,0,true,,,false
FSJA,STRATEGIC,CH47,0,true,,,false
FSJA,STRATEGIC,KC-10,0,true,,,false
FSPM,STRATEGIC,B-747P,0,true,,,false
