Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
FFAR,STRATEGIC,B-747P,0,true,,,9999
FFAR,STRATEGIC,C-17,0,true,,,9999
FFAR,STRATEGIC,C-5A,0,true,,,9999
FFAR,STRATEGIC,CH47,0,true,,,0
FFAR,STRATEGIC,KC-10,0,true,,,9999
FGDC,STRATEGIC,B-747P,0,true,,,0
FGDC,STRATEGIC,C-17,0,true,,,0
FGDC,STRATEGIC,C-5A,0,true,,,0
FGDC,STRATEGIC,CH47,0,true,,,0
FGDC,STRATEGIC,KC-10,0,true,,,0
FGTZ,STRATEGIC,B-747P,0,true,,,9999
FGTZ,STRATEGIC,C-17,0,true,,,9999
FGTZ,STRATEGIC,C-5A,0,true,,,9999
FGTZ,STRATEGIC,CH47,0,true,,,0
FGTZ,STRATEGIC,KC-10,0,true,,,9999
FGWB,STRATEGIC,B-747P,0,true,,,0
FGWB,STRATEGIC,C-17,0,true,,,0
FGWB,STRATEGIC,C-5A,0,true,,,0
FGWB,STRATEGIC,CH47,0,true,,,0
FGWB,STRATEGIC,KC-10,0,true,,,0
FJMK,STRATEGIC,B-747P,0,true,,,9999
FJMK,STRATEGIC,C-17,0,true,,,9999
FJMK,STRATEGIC,C-5A,0,true,,,9999
FJMK,STRATEGIC,CH47,0,true,,,0
FJMK,STRATEGIC,KC-10,0,true,,,9999
FJRP,STRATEGIC,B-747P,0,true,,,9999
FJRP,STRATEGIC,C-17,0,true,,,9999
FJRP,STRATEGIC,C-5A,0,true,,,9999
FJRP,STRATEGIC,CH47,0,true,,,0
FJRP,STRATEGIC,KC-10,0,true,,,9999
FJXT,STRATEGIC,B-747P,0,true,,,0
FJXT,STRATEGIC,C-17,0,true,,,0
FJXT,STRATEGIC,C-5A,0,true,,,0
FJXT,STRATEGIC,CH47,0,true,,,0
FJXT,STRATEGIC,KC-10,0,true,,,0
FKNN,STRATEGIC,B-747P,0,true,,,9999
FKNN,STRATEGIC,C-17,0,true,,,9999
FKNN,STRATEGIC,C-5A,0,true,,,9999
FKNN,STRATEGIC,CH47,0,true,,,0
FKNN,STRATEGIC,KC-10,0,true,,,9999
FMJN,STRATEGIC,B-747P,0,true,,,9999
FMJN,STRATEGIC,C-17,0,true,,,9999
FMJN,STRATEGIC,C-5A,0,true,,,9999
FMJN,STRATEGIC,CH47,0,true,,,0
FMJN,STRATEGIC,KC-10,0,true,,,9999
FMLH,STRATEGIC,B-747P,0,true,,,9999
FMLH,STRATEGIC,C-17,0,true,,,9999
FMLH,STRATEGIC,C-5A,0,true,,,9999
FMLH,STRATEGIC,CH47,0,true,,,0
FMLH,STRATEGIC,KC-10,0,true,,,9999
FNWZ,STRATEGIC,B-747P,0,true,,,0
FNWZ,STRATEGIC,C-17,0,true,,,0
FNWZ,STRATEGIC,C-5A,0,true,,,0
FNWZ,STRATEGIC,CH47,0,true,,,0
FNWZ,STRATEGIC,KC-10,0,true,,,0
