RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
0YBDC,A,7,FWD SPT MEDICAL CO  ABN,,,F3WNN,P,,01082,,,,,0,0,HQS,0,,,,Y,,,false,false,,,,
0YBDP,A,7,FWD SPT MEDICAL CO  ABN,,,F3WNN,C,,01082,,,,,63,0,HQS,68,,,,Y,,,false,false,,,,
0YBEC,A,7,FWD SPT MEDICAL CO  ABN,,,F3WNN,P,,01082,,,,,0,0,HQS,0,,,,Y,,,false,false,,,,
0YBEP,A,7,FWD SPT MEDICAL CO  ABN,,,F3WNN,C,,01082,,,,,63,0,HQS,68,,,,Y,,,false,false,,,,
0YBFC,A,7,"HQS   CO A, MED BN  ABN",,,F2WNN,P,,01082,,,,,0,0,HQS,0,,,,Y,,,false,false,,,,
0YBFP,A,7,"HQS   CO A, MED BN  ABN",,,F2WNN,C,,01082,,,,,167,0,HQS,167,,,,Y,,,false,false,,,,
0YBKC,A,7,FWD SPT CO ORD BN  ABN,,,HE6NN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YBKP,A,7,FWD SPT CO ORD BN  ABN,,,HE6NN,C,,01082,,,,,78,0,CO,78,,,,Y,,,false,false,,,,
0YBLC,A,7,FWD SPT CO ORD BN  ABN,,,HE6NN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YBLP,A,7,FWD SPT CO ORD BN  ABN,,,HE6NN,C,,01082,,,,,78,0,CO,78,,,,Y,,,false,false,,,,
0YBMC,A,7,HVY ORD  MT  CO  ABN,,,HF6NN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YBMP,A,7,HVY ORD  MT  CO  ABN,,,HF6NN,C,,01082,,,,,116,0,CO,116,,,,Y,,,false,false,,,,
0YBNC,A,7,HQ   LT ORD  MT  CO  ABN,,,HD6NN,P,,01082,,,,,0,0,HMC,0,,,,Y,,,false,false,,,,
0YBNP,A,7,HQ   LT ORD  MT  CO  ABN,,,HD6NN,C,,01082,,,,,164,0,HMC,164,,,,Y,,,false,false,,,,
0YBPC,A,7,ADA BTRY VUL/MPDS  ABN,,,1S7NN,P,,01082,,,,,0,0,BTY,0,,,,Y,,,false,false,,,,
0YBPP,A,7,ADA BTRY VUL/MPDS  ABN,,,1S7NN,C,,01082,,,,,112,0,BTY,112,,,,Y,,,false,false,,,,
0YBQC,A,7,"HHB ADA BN, ABN DIV",,,1R7NN,N,,01082,,,,,0,0,HHB,101,,,,Y,,,false,false,,,,
0YBQP,A,7,"HHB ADA BN, ABN DIV",,,1R7NN,C,,01082,,,,,101,0,HHB,101,,,,Y,,,false,false,,,,
